03-16_clone_A_1
Algorithm: Statistical
Corner+ Avg:223, Count:32
Corner- Avg:12145, Count:32
BF= Alpha1=0.04 Alpha2=0.06 Tau=0.015 Gamma1H=0.0025 Gamma1L=0.0025 Gamma2H=0.003 Gamma2L=0.003 Perturbation=1.1 TGT=250 NF=1.000000 SF=2.109617 SFGene=All 
Background=Avg:65.55,Stdev:1.08,Max:68.6,Min:63.3 Noise=Avg:2.80,Stdev:0.08,Max:3.1,Min:2.6 RawQ=2.57 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
96074_at	16	16	12.5	A	0.697453																															
96075_at	16	16	2222.3	P	0.000266																															
96076_at	16	16	1142.1	P	0.000805																															
96077_at	16	16	17.2	A	0.458816																															
96078_g_at	16	16	22.9	A	0.378184																															
96079_at	16	16	560.9	P	0.000805																															
96081_at	16	16	245.2	A	0.073830																															
96082_at	16	16	1113.0	P	0.000388																															
96083_s_at	16	16	2162.0	P	0.000266																															
96084_at	16	16	208.6	P	0.000959																															
96085_at	16	16	6.4	A	0.956032																															
96086_at	16	16	202.1	P	0.000562																															
96087_at	16	16	1012.7	P	0.001354																															
96088_at	16	16	5.0	A	0.892699																															
96089_at	16	16	6.5	A	0.910595																															
96090_g_at	16	16	77.1	P	0.013092																															
96091_at	16	16	8.1	A	0.732537																															
96092_at	16	16	143.2	P	0.035163																															
96093_at	16	16	298.9	P	0.011447																															
96094_at	16	16	15.0	A	0.795978																															
96095_i_at	14	14	57.6	P	0.000944																															
96096_f_at	16	16	162.6	P	0.001141																															
96097_at	16	16	357.6	A	0.218983																															
96098_at	16	16	173.7	P	0.000219																															
96099_at	16	16	209.2	P	0.008689																															
96101_at	16	16	16.2	A	0.697453																															
96102_i_at	15	15	327.6	P	0.000327																															
96103_f_at	16	16	274.2	P	0.019304																															
96104_at	16	16	445.5	P	0.001602																															
96106_at	16	16	97.8	P	0.000219																															
96109_at	16	16	121.1	A	0.098054																															
96110_at	16	16	80.4	A	0.073830																															
96112_at	16	16	235.2	P	0.000266																															
96113_at	16	16	1308.8	P	0.002617																															
96114_at	16	16	18.0	A	0.541184																															
96115_at	16	16	2666.4	P	0.000266																															
96116_at	16	16	2.7	A	0.781017																															
96117_r_at	16	16	1833.7	P	0.000266																															
96118_at	16	16	122.5	A	0.378184																															
96119_s_at	16	16	100.0	A	0.066865																															
96120_at	16	16	2241.0	P	0.000266																															
96601_at	16	16	4.6	A	0.910595																															
96602_g_at	16	16	74.6	P	0.014937																															
96603_at	16	16	4.8	A	0.438361																															
96604_at	16	16	150.2	P	0.000266																															
96605_at	16	16	40.0	A	0.358690																															
96606_at	16	16	253.9	P	0.000673																															
96607_at	16	16	729.4	P	0.000468																															
96608_at	16	16	831.3	P	0.000219																															
96609_at	16	16	1410.3	P	0.000219																															
96610_at	16	16	549.8	P	0.000562																															
96611_at	16	16	479.3	P	0.000805																															
96613_at	16	16	1047.8	P	0.000388																															
96614_at	16	16	775.8	P	0.000388																															
96615_at	16	16	4243.0	P	0.000219																															
96616_at	16	16	296.8	P	0.000562																															
96617_at	16	16	358.5	P	0.000219																															
96618_at	16	16	422.8	P	0.001602																															
96619_at	16	16	146.7	P	0.027860																															
96620_at	16	16	96.9	A	0.284747																															
96621_at	16	16	313.2	P	0.002617																															
96623_at	16	16	1558.8	P	0.000266																															
96624_r_at	16	16	45.5	A	0.602006																															
96625_at	16	16	97.8	P	0.003585																															
96626_at	16	16	295.1	P	0.000562																															
96627_at	16	16	363.7	P	0.000219																															
96628_at	16	16	138.8	P	0.000266																															
96629_at	16	16	341.8	P	0.000468																															
96630_at	16	16	3.1	A	0.926170																															
96632_at	16	16	637.5	P	0.000673																															
96633_s_at	16	16	225.6	P	0.000219																															
96634_at	16	16	2.2	A	0.861235																															
96635_at	16	16	161.9	P	0.008689																															
96636_at	16	16	1318.3	P	0.000219																															
96637_at	16	16	321.6	P	0.001354																															
96638_at	16	16	14.3	A	0.479380																															
96639_at	16	16	11.1	A	0.621816																															
96640_at	16	16	6639.8	P	0.000219																															
96641_at	16	16	422.1	P	0.000673																															
96643_at	16	16	40.9	A	0.339558																															
96644_at	16	16	1.9	A	0.861235																															
96646_at	16	16	177.1	P	0.004180																															
96647_at	16	16	511.2	P	0.000219																															
96648_at	16	16	5349.6	P	0.000219																															
96649_at	16	16	219.4	P	0.002228																															
96650_at	16	16	264.7	P	0.000805																															
96651_at	16	16	152.2	P	0.000468																															
96652_at	16	16	230.2	P	0.009985																															
96653_at	16	16	2812.1	P	0.000219																															
96654_at	16	16	35.4	P	0.014937																															
96655_g_at	16	16	196.7	P	0.019304																															
96656_at	16	16	189.3	P	0.000388																															
96657_at	16	16	820.2	P	0.000322																															
96658_at	16	16	352.5	P	0.000219																															
96661_at	16	16	481.2	P	0.000219																															
96662_at	16	16	6.1	A	0.602006																															
96663_at	16	16	120.1	P	0.001892																															
96664_at	16	16	505.7	P	0.000562																															
96665_at	16	16	389.3	P	0.003067																															
96666_at	16	16	274.7	P	0.000468																															
96667_at	16	16	340.5	P	0.000219																															
96668_at	16	16	809.6	P	0.000562																															
96669_at	16	16	375.8	P	0.003585																															
96670_at	16	16	80.4	P	0.014937																															
96672_at	16	16	2494.9	P	0.000219																															
96674_at	16	16	392.7	P	0.000266																															
96675_at	16	16	1314.1	P	0.000322																															
96676_at	16	16	242.8	P	0.002617																															
96677_at	16	16	229.1	P	0.000805																															
96678_at	16	16	89.6	A	0.162935																															
96679_at	16	16	60.1	P	0.001354																															
96680_at	16	16	210.6	P	0.000562																															
96682_at	16	16	197.8	M	0.048995																															
96684_at	16	16	210.9	P	0.004180																															
96685_at	16	16	28.4	P	0.021866																															
96686_i_at	15	15	612.3	P	0.000327																															
96687_f_at	13	13	309.2	P	0.000737																															
96688_at	16	16	54.5	P	0.000219																															
96691_at	16	16	401.0	P	0.002617																															
96692_at	16	16	81.9	P	0.035163																															
96693_at	16	16	427.2	P	0.000388																															
96694_at	16	16	22.2	A	0.378184																															
96695_at	16	16	165.6	P	0.000562																															
96696_at	16	16	608.6	P	0.000219																															
96698_at	16	16	397.9	P	0.000219																															
96699_at	16	16	444.6	P	0.017001																															
96700_r_at	16	16	63.4	P	0.001141																															
96701_at	16	16	999.4	P	0.000388																															
96703_at	16	16	4.3	A	0.810313																															
96704_at	16	16	155.0	P	0.024711																															
96707_at	16	16	246.2	P	0.000219																															
96708_at	16	16	407.5	P	0.000219																															
96709_at	16	16	975.9	P	0.000219																															
96710_at	16	16	924.2	P	0.000388																															
96711_at	16	16	612.5	P	0.000219																															
96712_at	16	16	10.9	A	0.715253																															
96713_at	16	16	10.7	A	0.302547																															
96716_at	16	16	635.2	P	0.000219																															
96717_at	16	16	640.0	P	0.014937																															
96718_at	16	16	793.4	P	0.000468																															
96719_i_at	14	14	526.8	A	0.150145																															
96720_f_at	16	16	4.5	A	0.541184																															
97199_at	16	16	493.2	P	0.000266																															
97200_f_at	16	16	2465.5	P	0.000219																															
97201_s_at	16	16	737.2	P	0.000266																															
97203_at	16	16	42.4	P	0.017001																															
97204_s_at	16	16	1591.3	P	0.000959																															
97205_at	16	16	822.3	P	0.000219																															
97206_at	16	16	3.8	A	0.872355																															
97207_f_at	16	16	564.4	P	0.000388																															
97208_at	16	16	117.2	A	0.302547																															
97210_at	16	16	169.0	A	0.127645																															
97211_at	16	16	6.3	A	0.520620																															
97213_at	16	16	65.6	A	0.117160																															
97216_at	16	16	6.3	A	0.520620																															
97217_at	16	16	1345.7	P	0.000219																															
97220_at	16	16	47.4	P	0.039365																															
97222_at	16	16	556.8	P	0.004180																															
97224_at	16	16	414.5	P	0.017001																															
97226_at	16	16	81.7	P	0.027860																															
97227_at	16	16	43.7	A	0.107301																															
97228_at	16	16	83.5	A	0.339558																															
97229_at	16	16	2215.5	P	0.000322																															
97232_at	16	16	3.7	A	0.810313																															
97234_at	16	16	102.6	A	0.127645																															
97235_f_at	14	14	1.1	A	0.834732																															
97236_r_at	16	16	10.6	A	0.882840																															
97237_at	16	16	347.2	P	0.000322																															
97238_at	16	16	24.0	A	0.107301																															
97239_at	16	16	55.4	P	0.006532																															
97240_g_at	16	16	1348.4	P	0.000266																															
97241_at	16	16	531.1	P	0.000562																															
97242_at	16	16	136.5	A	0.189687																															
97243_at	16	16	1292.1	P	0.000805																															
97247_at	16	16	215.7	P	0.001141																															
97248_at	16	16	299.4	P	0.001602																															
97249_at	16	16	486.7	P	0.003585																															
97250_at	16	16	1041.6	P	0.000219																															
97251_at	16	16	61.8	P	0.001141																															
97252_at	16	16	147.6	A	0.660442																															
97253_at	16	16	55.9	P	0.017001																															
97254_at	16	16	602.7	P	0.000219																															
97255_at	16	16	906.6	P	0.000219																															
97256_at	16	16	24.4	A	0.418069																															
97257_at	16	16	62.0	A	0.081337																															
97258_at	16	16	33.8	P	0.024711																															
97259_at	16	16	47.2	P	0.008689																															
97260_at	16	16	107.9	A	0.127645																															
97261_at	16	16	1274.3	P	0.000219																															
97262_at	16	16	1084.5	P	0.001141																															
97263_s_at	16	16	1598.7	P	0.000266																															
97264_r_at	16	16	40.6	A	0.397994																															
97265_at	16	16	706.0	P	0.004180																															
97267_at	16	16	292.5	A	0.107301																															
97268_i_at	15	15	4559.5	P	0.000327																															
97269_f_at	16	16	4368.6	P	0.000219																															
97270_at	16	16	25.6	A	0.458816																															
97271_at	16	16	279.2	P	0.000959																															
97272_at	16	16	210.4	P	0.013092																															
97273_at	16	16	575.9	P	0.000219																															
97274_at	16	16	451.6	P	0.000219																															
97276_at	16	16	117.1	M	0.048995																															
97277_at	16	16	215.0	P	0.000562																															
97278_at	16	16	10.1	A	0.621816																															
97279_at	16	16	298.2	P	0.000673																															
97281_at	16	16	26.9	A	0.378184																															
97282_at	16	16	77.1	A	0.234557																															
97283_at	16	16	15.2	A	0.162935																															
97284_at	16	16	448.9	P	0.002617																															
97285_f_at	16	16	114.9	P	0.002228																															
97287_at	16	16	16.6	A	0.602006																															
97288_at	16	16	4.5	A	0.765443																															
97292_at	16	16	1336.3	P	0.000219																															
97293_at	16	16	192.6	P	0.021866																															
97295_at	16	16	119.0	M	0.048995																															
97296_at	16	16	122.4	P	0.007543																															
97297_at	16	16	3.5	A	0.926170																															
97300_at	16	16	10.0	A	0.679170																															
97301_at	16	16	692.6	P	0.000468																															
97302_at	16	16	241.4	P	0.000219																															
97304_at	16	16	691.4	P	0.000219																															
97305_at	16	16	244.4	P	0.000266																															
97307_f_at	16	16	2410.3	P	0.000322																															
97308_at	16	16	225.2	P	0.031336																															
97309_at	16	16	346.0	P	0.000322																															
97310_at	16	16	113.0	P	0.001892																															
97311_at	16	16	3174.4	P	0.000266																															
97312_at	16	16	2740.2	P	0.000219																															
97313_at	16	16	1097.7	P	0.001602																															
97315_at	16	16	385.8	P	0.001354																															
97316_at	16	16	13.6	A	0.138765																															
97317_at	16	16	2.7	A	0.951005																															
97318_at	16	16	210.1	P	0.000562																															
97797_at	16	16	869.7	P	0.000959																															
97798_at	16	16	113.6	P	0.004863																															
97800_at	16	16	286.9	P	0.000959																															
97802_at	16	16	118.9	P	0.000266																															
97803_at	16	16	211.8	P	0.002617																															
97807_at	16	16	372.8	P	0.002228																															
97808_at	16	16	2578.4	P	0.000219																															
97809_at	16	16	1878.2	P	0.000219																															
97811_at	16	16	147.0	M	0.048995																															
97812_at	16	16	524.9	P	0.000266																															
97813_at	16	16	2522.4	P	0.000219																															
97814_at	16	16	86.3	A	0.765443																															
97816_at	16	16	94.0	P	0.000805																															
97817_at	16	16	2466.3	P	0.000219																															
97818_at	16	16	679.7	P	0.000266																															
97819_at	16	16	178.6	P	0.003067																															
97820_at	16	16	59.9	A	0.117160																															
97821_at	16	16	332.0	P	0.007543																															
97822_at	16	16	524.9	P	0.000266																															
97823_g_at	16	16	982.4	P	0.000388																															
97824_at	16	16	498.2	P	0.000219																															
97825_at	16	16	17.6	A	0.581931																															
97826_at	16	16	87.2	A	0.189687																															
97828_at	16	16	221.0	P	0.008689																															
97829_at	16	16	980.4	P	0.000219																															
97830_at	16	16	97.1	A	0.204022																															
97832_at	16	16	549.9	P	0.001141																															
97833_at	16	16	500.1	P	0.000219																															
97834_g_at	16	16	498.8	P	0.000562																															
97835_at	16	16	55.5	A	0.320830																															
97836_at	16	16	58.8	P	0.014937																															
97838_at	16	16	808.7	P	0.000219																															
97839_at	16	16	787.3	P	0.000219																															
97841_at	16	16	595.5	P	0.000266																															
97843_at	16	16	393.2	P	0.000322																															
97844_at	16	16	353.4	P	0.000322																															
97845_at	16	16	426.9	A	0.138765																															
97846_at	16	16	496.9	P	0.000219																															
97847_at	16	16	82.0	P	0.013092																															
97848_at	16	16	116.9	P	0.000562																															
97849_at	16	16	3.3	A	0.284747																															
97853_at	16	16	170.8	P	0.000266																															
97857_at	16	16	277.6	P	0.000805																															
97858_at	16	16	171.6	A	0.218983																															
97859_at	16	16	47.8	A	0.284747																															
97860_at	16	16	226.0	A	0.081337																															
97861_at	16	16	24.3	A	0.218983																															
97862_s_at	16	16	227.2	P	0.008689																															
97863_at	16	16	224.8	P	0.000219																															
97864_at	16	16	151.7	P	0.000322																															
97865_g_at	16	16	1295.7	P	0.000219																															
97866_at	16	16	1444.7	P	0.000266																															
97867_at	16	16	405.0	P	0.000266																															
97868_at	16	16	354.0	P	0.017001																															
97869_at	16	16	140.7	P	0.007543																															
97870_s_at	16	16	857.1	P	0.001141																															
97871_at	16	16	1019.6	P	0.000219																															
97873_at	16	16	231.0	A	0.150527																															
97874_at	16	16	388.5	P	0.000219																															
97875_at	16	16	708.4	P	0.001602																															
97876_at	16	16	480.6	P	0.000388																															
97880_at	16	16	306.3	P	0.000805																															
97882_at	16	16	1869.9	P	0.000562																															
97884_at	16	16	161.8	P	0.000266																															
97885_at	16	16	255.9	P	0.014937																															
97886_at	16	16	80.0	A	0.081337																															
97887_at	16	16	10.9	A	0.641332																															
97888_at	16	16	84.6	P	0.004180																															
97889_at	16	16	10.7	A	0.418069																															
97890_at	16	16	117.8	P	0.000673																															
97891_at	16	16	110.8	A	0.267463																															
97892_at	16	16	139.6	P	0.000805																															
97893_at	16	16	92.3	P	0.000805																															
97894_at	16	16	621.3	P	0.000959																															
97895_f_at	12	12	451.9	P	0.001109																															
97896_r_at	16	16	97.7	P	0.002228																															
97897_at	16	16	224.2	P	0.000468																															
97900_at	16	16	333.6	P	0.000219																															
97901_at	16	16	1412.6	P	0.001141																															
97903_at	16	16	139.9	A	0.479380																															
97904_at	16	16	6064.2	P	0.000219																															
97906_at	16	16	108.7	P	0.002228																															
97907_at	16	16	412.0	P	0.000805																															
97908_at	16	16	887.7	P	0.000266																															
97909_at	16	16	423.4	P	0.002617																															
97910_at	16	16	4.8	A	0.732537																															
97911_at	16	16	1052.6	P	0.000388																															
97912_at	16	16	25.8	A	0.189687																															
97914_at	16	16	358.6	P	0.000219																															
97915_at	16	16	1906.2	P	0.000805																															
98875_at	16	16	226.7	P	0.019304																															
98876_at	16	16	78.5	A	0.150527																															
98878_r_at	16	16	211.6	A	0.150527																															
98880_at	16	16	424.3	P	0.000266																															
98881_at	16	16	117.0	P	0.024711																															
98882_s_at	16	16	1033.5	P	0.000266																															
98883_r_at	16	16	19.0	A	0.479380																															
98884_r_at	16	16	94.7	P	0.000673																															
98886_at	16	16	384.2	M	0.043968																															
98887_at	16	16	858.7	P	0.024711																															
98889_at	16	16	90.2	A	0.098054																															
98890_at	16	16	117.8	M	0.048995																															
98891_at	16	16	54.0	P	0.013092																															
98892_at	16	16	60.5	A	0.234557																															
98893_at	16	16	167.4	P	0.002228																															
98894_at	16	16	162.6	P	0.006532																															
98896_at	16	16	649.5	P	0.003585																															
98901_at	16	16	650.6	P	0.000468																															
98902_at	16	16	5.7	A	0.810313																															
98903_at	16	16	31.0	A	0.098054																															
98904_at	16	16	354.7	P	0.000219																															
98905_at	16	16	1276.3	P	0.000219																															
98906_at	16	16	156.0	P	0.001602																															
98908_at	16	16	1000.8	P	0.000219																															
98909_at	16	16	258.6	P	0.000219																															
98910_at	16	16	467.0	P	0.007543																															
98911_at	16	16	1602.8	P	0.000673																															
98912_at	16	16	270.1	P	0.000266																															
98914_at	16	16	338.8	P	0.000673																															
98915_at	16	16	237.1	P	0.000266																															
98916_at	16	16	34.7	A	0.138765																															
98917_at	16	16	375.8	P	0.000219																															
98918_at	16	16	236.9	A	0.162935																															
98919_at	16	16	11.5	A	0.621816																															
98920_g_at	16	16	119.1	P	0.019304																															
98921_at	16	16	196.2	P	0.001892																															
98922_at	16	16	119.3	P	0.001602																															
98923_at	16	16	123.9	A	0.060419																															
98924_at	16	16	3.2	A	0.910595																															
98925_at	16	16	9.0	A	0.697453																															
98926_at	16	16	543.4	P	0.000562																															
98927_at	16	16	580.0	P	0.000219																															
98928_at	16	16	1831.7	P	0.000219																															
98929_at	16	16	415.8	P	0.000266																															
98930_at	16	16	750.7	P	0.001354																															
98931_at	16	16	73.7	P	0.008689																															
98932_at	16	16	46.8	A	0.234557																															
98933_at	16	16	435.5	P	0.000673																															
98934_at	16	16	522.5	P	0.000388																															
98936_at	16	16	352.4	P	0.004863																															
98937_at	16	16	1631.8	P	0.000219																															
98938_at	16	16	448.9	P	0.000959																															
98940_at	16	16	7.7	A	0.541184																															
98941_r_at	16	16	9.5	A	0.951005																															
98942_r_at	16	16	19.3	P	0.001892																															
98943_at	16	16	109.4	A	0.060419																															
98944_at	16	16	639.8	P	0.000266																															
98945_at	16	16	103.9	P	0.000805																															
98946_at	16	16	470.6	P	0.000322																															
98947_at	16	16	10.4	A	0.795978																															
98948_at	16	16	76.4	P	0.007543																															
98950_at	16	16	1092.1	P	0.000219																															
98951_at	16	16	297.8	P	0.000673																															
98952_at	16	16	235.5	P	0.019304																															
98953_at	16	16	1169.1	P	0.000219																															
98954_f_at	16	16	11.0	A	0.378184																															
98955_at	16	16	37.3	A	0.138765																															
98956_at	16	16	3727.7	P	0.000219																															
98957_at	16	16	3.9	A	0.781017																															
98958_at	16	16	12.3	A	0.320830																															
98959_at	16	16	153.1	P	0.014937																															
94445_at	16	16	54.3	P	0.003585																															
94447_at	16	16	27.5	P	0.024711																															
94448_at	16	16	647.0	P	0.000219																															
94449_at	16	16	22.0	A	0.621816																															
94450_at	16	16	162.3	P	0.000219																															
94451_at	16	16	181.4	P	0.000959																															
94452_g_at	16	16	492.9	P	0.000219																															
94453_at	16	16	559.6	P	0.000266																															
94454_at	16	16	2690.0	P	0.000219																															
94455_at	16	16	702.3	P	0.000219																															
94456_at	16	16	608.9	P	0.000219																															
94457_at	16	16	1089.2	P	0.000219																															
94458_at	16	16	62.8	P	0.009985																															
94459_at	16	16	349.5	P	0.001141																															
94460_at	16	16	622.3	P	0.000266																															
94461_at	16	16	298.8	P	0.000266																															
94462_at	16	16	287.8	P	0.000388																															
94463_at	16	16	74.8	A	0.089405																															
94464_at	16	16	173.7	P	0.000219																															
94465_g_at	16	16	111.8	P	0.001354																															
94466_f_at	16	16	590.0	P	0.000388																															
94467_at	16	16	47.0	A	0.073830																															
94468_at	16	16	145.3	A	0.066865																															
94469_at	16	16	1623.7	P	0.000219																															
94470_i_at	15	15	125.4	P	0.003799																															
94471_r_at	16	16	58.2	P	0.002617																															
94472_at	16	16	128.9	P	0.011447																															
94473_at	16	16	883.1	P	0.000266																															
94476_at	16	16	17.5	A	0.107301																															
94477_at	16	16	85.8	P	0.009985																															
94478_at	16	16	618.7	P	0.000266																															
94479_at	16	16	5.6	A	0.765443																															
94480_at	16	16	189.6	A	0.117160																															
94481_at	16	16	94.8	P	0.000805																															
94482_at	16	16	319.1	P	0.000388																															
94483_at	16	16	383.1	P	0.000388																															
94484_at	16	16	357.5	P	0.002617																															
94485_at	16	16	264.5	P	0.000562																															
94486_at	16	16	719.6	P	0.000266																															
94488_at	16	16	468.6	P	0.000266																															
94489_at	16	16	1685.0	P	0.000266																															
94490_at	16	16	250.6	P	0.000673																															
94491_at	16	16	78.7	P	0.019304																															
94492_at	16	16	858.9	P	0.000219																															
94493_at	16	16	43.1	A	0.138765																															
94494_at	16	16	84.3	P	0.000322																															
94495_at	16	16	9.1	A	0.500000																															
94499_at	16	16	1156.1	P	0.000266																															
94501_at	16	16	299.1	P	0.001602																															
94502_at	16	16	768.0	P	0.000266																															
94503_at	16	16	3602.3	P	0.000219																															
94504_at	16	16	79.4	A	0.162935																															
94505_at	16	16	430.2	P	0.000219																															
94506_at	16	16	306.3	P	0.000266																															
94507_at	16	16	27.0	A	0.175989																															
94508_at	16	16	745.6	P	0.000219																															
94509_at	16	16	119.3	P	0.003585																															
94510_at	16	16	144.3	P	0.000562																															
94511_at	16	16	54.8	P	0.035163																															
94512_f_at	16	16	41.1	P	0.035163																															
94513_r_at	16	16	22.7	A	0.765443																															
94514_s_at	16	16	271.7	P	0.003067																															
94515_at	16	16	33.7	A	0.138765																															
94516_f_at	16	16	208.8	P	0.000468																															
94517_r_at	16	16	57.0	A	0.378184																															
94518_at	16	16	1332.1	P	0.002228																															
94520_at	16	16	7.6	A	0.621816																															
94521_at	16	16	823.4	P	0.000219																															
94522_at	16	16	1251.6	P	0.000805																															
94524_at	16	16	351.6	P	0.007543																															
94526_at	16	16	318.3	P	0.000322																															
94527_at	16	16	4.9	A	0.732537																															
94528_at	16	16	390.9	P	0.001141																															
94530_at	16	16	364.7	P	0.000266																															
94531_at	16	16	229.3	P	0.000266																															
94532_at	16	16	524.1	P	0.000805																															
94534_at	16	16	216.3	M	0.048995																															
94535_at	16	16	906.7	P	0.011447																															
94536_s_at	16	16	5342.6	P	0.000219																															
94537_at	16	16	8683.1	P	0.000219																															
94539_f_at	16	16	5.3	A	0.933135																															
94540_at	16	16	7.2	A	0.975289																															
94541_at	16	16	95.3	A	0.117160																															
94542_at	16	16	82.4	P	0.006532																															
94543_at	16	16	160.8	A	0.378184																															
94545_at	16	16	3.6	A	0.795978																															
94548_at	16	16	882.9	P	0.000219																															
94549_at	16	16	576.7	P	0.001892																															
94550_at	16	16	466.5	P	0.000388																															
94551_at	16	16	190.9	P	0.017001																															
94552_at	16	16	2664.6	P	0.000219																															
94554_at	16	16	179.4	A	0.081337																															
94555_at	16	16	1628.4	P	0.002617																															
94556_at	16	16	36.0	M	0.048995																															
94557_at	16	16	5.2	A	0.679170																															
94558_g_at	16	16	368.8	P	0.000322																															
94559_at	16	16	25.0	A	0.621816																															
94561_at	16	16	64.3	A	0.339558																															
94562_at	16	16	173.3	P	0.005643																															
94563_at	16	16	5.2	A	0.732537																															
95042_at	16	16	1196.7	P	0.000219																															
95043_at	16	16	18.8	A	0.060419																															
95044_at	16	16	453.1	P	0.000388																															
95045_at	16	16	194.0	P	0.005643																															
95046_s_at	16	16	522.7	P	0.001354																															
95048_at	16	16	31.8	A	0.679170																															
95049_at	16	16	2432.4	P	0.000219																															
95050_at	16	16	812.5	P	0.000266																															
95052_at	16	16	48.6	A	0.302547																															
95053_s_at	16	16	1086.5	P	0.000219																															
95054_at	16	16	269.7	P	0.000805																															
95056_r_at	16	16	1.5	A	0.732572																															
95057_at	16	16	251.6	P	0.003585																															
95058_f_at	16	16	262.5	P	0.000219																															
95059_at	16	16	2414.0	P	0.000219																															
95060_at	16	16	1.3	A	0.991311																															
95061_at	16	16	86.3	P	0.002228																															
95062_at	16	16	356.9	P	0.000266																															
95063_at	16	16	70.2	P	0.011447																															
95064_at	16	16	1989.4	P	0.000219																															
95065_at	16	16	366.4	P	0.003585																															
95066_at	16	16	580.8	P	0.000266																															
95067_at	16	16	154.5	P	0.000322																															
95068_at	16	16	220.0	P	0.007543																															
95069_at	16	16	954.2	P	0.000219																															
95070_at	16	16	258.7	P	0.000266																															
95071_at	16	16	109.1	A	0.138765																															
95072_at	16	16	1776.9	P	0.000562																															
95073_at	16	16	9.8	A	0.641310																															
95074_at	16	16	194.9	P	0.007543																															
95075_at	16	16	46.2	A	0.060419																															
95076_at	16	16	1620.9	P	0.000219																															
95077_at	16	16	250.4	P	0.000322																															
95078_at	16	16	111.8	P	0.000805																															
95079_at	16	16	3.6	A	0.956032																															
95081_at	16	16	289.6	P	0.002228																															
95082_at	16	16	4.5	A	0.956032																															
95083_at	16	16	13.6	A	0.765443																															
95084_f_at	16	16	197.1	P	0.000673																															
95085_r_at	16	16	19.8	A	0.284747																															
95086_at	16	16	1717.6	P	0.000219																															
95090_at	16	16	1832.3	P	0.000673																															
95091_at	16	16	547.5	P	0.000219																															
95092_at	16	16	552.2	P	0.000219																															
95093_at	16	16	124.9	P	0.007543																															
95094_g_at	16	16	79.4	P	0.000266																															
95095_at	16	16	799.6	P	0.035163																															
95096_at	16	16	559.2	P	0.000219																															
95097_at	16	16	872.7	P	0.000219																															
95098_at	16	16	331.5	A	0.117160																															
95100_at	16	16	1893.0	P	0.000266																															
95101_at	16	16	114.1	P	0.000388																															
95102_at	16	16	14601.9	P	0.000219																															
95103_at	16	16	566.5	P	0.000805																															
95104_at	16	16	28.2	A	0.320830																															
95105_at	16	16	1250.1	P	0.000266																															
95108_at	16	16	28.4	A	0.679170																															
95109_at	16	16	366.2	P	0.000388																															
95110_at	16	16	381.0	P	0.000219																															
95111_i_at	13	13	25.9	M	0.043430																															
95112_f_at	16	16	376.8	P	0.000266																															
95113_at	16	16	17.8	A	0.660442																															
95114_s_at	16	16	1489.0	P	0.003067																															
95117_at	16	16	321.0	P	0.013092																															
95118_r_at	16	16	495.5	P	0.004180																															
95119_at	16	16	230.4	P	0.001892																															
95120_at	16	16	364.9	P	0.000562																															
95121_at	16	16	127.1	P	0.000388																															
95122_g_at	16	16	58.0	P	0.003067																															
95123_at	16	16	56.9	M	0.054470																															
95124_i_at	13	13	757.1	P	0.000737																															
95125_f_at	16	16	190.2	P	0.002228																															
95128_at	16	16	518.5	P	0.000673																															
95129_at	16	16	295.3	P	0.000219																															
95131_f_at	16	16	1298.0	P	0.000266																															
95132_r_at	16	16	1661.9	P	0.001892																															
95133_at	16	16	317.9	A	0.162935																															
95134_at	16	16	103.9	A	0.162895																															
95135_at	16	16	304.8	P	0.000959																															
95136_at	16	16	284.3	P	0.003585																															
95137_at	16	16	103.1	P	0.004180																															
95138_at	16	16	149.6	P	0.001892																															
95139_at	16	16	133.5	P	0.021866																															
95140_at	16	16	717.2	P	0.000219																															
95141_at	16	16	40.0	A	0.060419																															
95142_s_at	16	16	2484.1	P	0.000219																															
95144_at	16	16	401.9	P	0.001602																															
95146_at	16	16	3871.1	P	0.000219																															
95147_at	16	16	740.0	P	0.000322																															
95148_at	16	16	362.4	P	0.001354																															
95149_at	16	16	888.9	P	0.000219																															
95150_at	16	16	8.5	A	0.926170																															
95151_at	16	16	11.1	A	0.996415																															
95152_g_at	16	16	17.1	A	0.602006																															
95153_at	16	16	731.7	P	0.000219																															
95154_at	16	16	2.3	A	0.964837																															
95155_at	16	16	496.3	P	0.000219																															
95156_g_at	16	16	184.6	P	0.000322																															
95157_at	16	16	384.2	P	0.027860																															
95158_at	16	16	649.1	P	0.001354																															
95159_at	16	16	195.6	P	0.009985																															
95161_at	16	16	1254.1	P	0.000562																															
95641_at	16	16	10.0	A	0.861235																															
95642_at	16	16	104.9	P	0.035163																															
95643_at	16	16	184.5	P	0.000959																															
95645_at	16	16	77.0	A	0.150527																															
95646_at	16	16	292.3	P	0.007543																															
95647_f_at	16	16	1481.8	P	0.000219																															
